seqno,hosp_id,區域,hosp_name,tel,extension,地址,緯度,經度,type,time,vaccine,twd97x,twd97y,wgs84ax,wgs84ay,date,緯度,經度
1,3531150118,五股區,黃志勳診所,(02)22910978,,新北市五股區成泰路2段69號,25.0837779,121.4378516,合約診所,"週一至週六早上08:30-12:00、下午14:30-18:00
晚上18:45-21:30",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0837779,121.4378516
2,3531150216,五股區,鴻佑診所,(02)82950772,,新北市五股區成泰路2段61號,25.0835719,121.4378327,合約診所,"週一至四、六早上08:30-12:00、下午15:00-18:00、晚上19:00-22:00
週五早上08:30-12:00、下午15:00-18:00
週日早上08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0835719,121.4378327
3,3531151517,五股區,祐聖診所,(02)82921335,,新北市五股區五福路34號,25.0892442,121.4340449,合約診所,"週一至週六下午14:30-18:00、晚上18:30-21:30
◎13價肺炎鏈球菌疫苗及日本腦炎活性減毒疫苗，僅週四、五下午14:30-18:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0892442,121.4340449
4,3531151731,五股區,五股水碓診所,(02)22921516,,新北市五股區自強路36號,25.0740947,121.4338275,合約診所,"週一至週五早上08:30-12:00、下午15:30-18:00
晚上18:30-21:00
週六早上08:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0740947,121.4338275
5,3531151562,五股區,嘉安小兒科診所,(02)22935100,,新北市五股區凌雲路1段72號,25.1028763,121.4412706,合約診所,"週一至週六早上08:00-11:50、下午15:00-17:50
晚上18:30-20:50",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.1028763,121.4412706
6,3531171402,林口區,麗林耳鼻喉科診所,(02)26082795,,新北市林口區忠孝路379號1樓,25.0716932,121.369418,合約診所,"週一至週五早上8:30-12:00、下午15:00-18:00、晚上18:30-21:30
週六早上8:30-12:00、下午15:00-18:00
週日早上8:30-12:00",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0716932,121.369418
7,3531171368,林口區,侯志龍小兒科診所,(02)26089001,,新北市林口區公園路25號,25.0678504,121.3667475,合約診所,週一至週日早上8:30-12:00、下午15:00-17:45、晚上18:30-22:00,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0678504,121.3667475
8,3531171484,林口區,未來小兒科診所,(02)26029090,,新北市文化二路一段577號1樓,25.078465,121.3758229,合約診所,"週一至週日早上8:30-12:00、下午15:00-18:00、晚上18:30-21:30
◎週日下午休診",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.078465,121.3758229
9,3531171439,林口區,黃紹基診所,(02)26005385,,新北市林口區民有街156號,25.0761117,121.372433,合約診所,週一至週日上午8:30-12:00、下午15:00-18:00、晚上18:30-21:30,B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0761117,121.372433
10,3531171939,林口區,永健診所,(02)26016129,,新北市林口區文化二路一段392-3號1樓,25.0773454,121.3755182,合約診所,"週一至週日上午9:30-12:30、下午17:00-21:00
週二休診及週五早上休診",B型肝炎疫苗、五合一疫苗、13價肺炎鏈球菌疫苗、水痘、麻疹腮腺炎德國麻疹混合疫苗、活性減毒日本腦炎疫苗、白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗、A型肝炎疫苗,,,,,20230731,25.0773454,121.3755182
